Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
G5EC67				1.21965e+06	1.24693e+06	1.33161e+06	1.14315e+06	1.84516e+06	1.39014e+06
G5EC71				917267	972958	666640	1.02834e+06	850155	1.03209e+06
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		9.11747e+06	9.09288e+06	9.01715e+06	1.13119e+07	1.19076e+07	1.13415e+07
G5EC87				4.09557e+06	3.07875e+06	4.13872e+06	4.5477e+06	3.86543e+06	3.96898e+06
G5EC91				1.18661e+07	1.26807e+07	1.25458e+07	1.40631e+07	1.54116e+07	1.45004e+07
G5EC98				3.11453e+06	3.51632e+06	3.61316e+06	4.24166e+06	4.39572e+06	4.25309e+06
G5ECA7				7.45432e+06	7.68151e+06	7.78847e+06	9.913e+06	9.21926e+06	1.04968e+07
G5ECB3;G5ECB4;G5EDB1				2.77452e+06	2.63771e+06	2.31286e+06	3.49044e+06	3.38071e+06	3.65354e+06
G5ECC1				984900	765354	636398	1.50828e+06	1.0549e+06	942807
G5ECC9				1.67925e+06	1.69447e+06	1.54293e+06	2.23099e+06	2.27075e+06	2.26435e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				379756		174368	387469	302051	272660
G5ECE7				3.81058e+06	3.69003e+06	3.44082e+06	4.6218e+06	4.82646e+06	4.29498e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				1.62338e+06	1.65156e+06	1.56052e+06	1.66574e+06	1.79927e+06	1.49632e+06
G5ECF8				966300	1.02628e+06	906447	1.23087e+06	999668	1.02126e+06
G5ECG7				3.9515e+06	4.1495e+06	4.13749e+06	4.39937e+06	4.86428e+06	4.81277e+06
G5ECI8;G5EEN1				803754		657301	1.54086e+06	1.29347e+06	897801
G5ECK7;G5ED34				887154	1.01126e+06	932416	1.25832e+06	1.15032e+06	1.26644e+06
G5ECL3				3.38756e+06	3.48348e+06	2.94027e+06	4.13949e+06	3.8823e+06	4.34483e+06
G5ECM6				2.12904e+07	2.12096e+07	2.03907e+07	2.54387e+07	2.57273e+07	2.62655e+07
G5ECP9;G5EEC4;G5EFW2				1.23988e+07	1.26502e+07	1.27593e+07	1.51617e+07	1.56337e+07	1.53223e+07
G5ECR0				9.87146e+06	9.52135e+06	9.75202e+06	1.26975e+07	1.25734e+07	1.27066e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		1.69674e+06	1.5308e+06	1.77667e+06	2.32271e+06	2.23321e+06	1.6301e+06
G5ECR7				3.29049e+06	3.179e+06	3.30761e+06	3.50799e+06	4.31325e+06	4.69252e+06
G5ECS4				1.41494e+06	1.43534e+06	1.04564e+06	1.96843e+06	1.6747e+06	1.46267e+06
G5ECS9				6.55325e+06	6.61325e+06	6.93686e+06	7.78307e+06	7.75367e+06	7.71904e+06
G5ECT6				1.63996e+07	1.60557e+07	1.60178e+07	2.10796e+07	2.28908e+07	2.00997e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.07641e+07	1.17418e+07	1.12856e+07	1.23448e+07	1.22086e+07	1.40243e+07
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		4.80606e+07	5.08115e+07	4.93401e+07	5.85404e+07	6.3249e+07	6.20445e+07
G5ECV9				4.7577e+06	5.04293e+06	5.37345e+06	6.20071e+06	6.16045e+06	6.31661e+06
G5ECW7;Q9U3K7				3.62544e+06	3.63719e+06	3.92064e+06	4.06543e+06	4.37389e+06	4.52324e+06
G5ECX8;G5EDV6				3.11104e+06	2.94311e+06	2.85365e+06	3.65895e+06	3.53887e+06	3.20633e+06
G5ECX9				968866	970200	1.05398e+06	1.36152e+06	1.49811e+06	1.20591e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	6.65709e+06	7.4154e+06	7.34464e+06	9.46066e+06	9.46776e+06	9.24064e+06
G5ECZ0						150942	194070	1.12716e+06	
G5ECZ2;G5EDI2				1.35631e+07	1.48555e+07	1.57861e+07	1.84098e+07	2.03708e+07	2.03633e+07
G5ED01				4.74122e+06	4.46867e+06	5.01945e+06	6.24154e+06	6.1261e+06	6.17581e+06
G5ED07				6.12097e+07	6.28811e+07	6.97547e+07	7.61159e+07	8.00212e+07	8.23777e+07
G5ED08;Q21190	UNC1_CAEEL	unc-1							220168
G5ED26					415712	339799	277828	436032	359427
G5ED27;G5EG33				1.3621e+06	1.36938e+06	1.16997e+06	1.72124e+06	1.8337e+06	1.83037e+06
G5ED31;G5EDD1				2.48352e+07	2.60512e+07	2.65714e+07	3.04473e+07	3.10413e+07	3.23268e+07
G5ED33;O18250;Q7YTG1				4.51495e+06	4.55335e+06	4.53682e+06	6.07941e+06	5.36049e+06	6.00904e+06
G5ED36;O62178				316170	264063	239825	348303	303354	369443
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	5.13528e+06	5.6212e+06	5.0289e+06	6.82818e+06	6.12031e+06	6.34318e+06
G5ED75;Q9XU12				885891			1.77591e+06	1.5348e+06	1.42687e+06
G5ED95				4.61908e+06	4.00607e+06	2.97945e+06	5.58404e+06	5.06351e+06	4.56871e+06
G5ED97				1.29226e+07	1.46689e+07	1.54e+07	1.16054e+07	1.39512e+07	1.66791e+07
G5EDA8;G5EGA2					1.77671e+06		2.35189e+06	2.09847e+06	1.89367e+06
G5EDB7;Q8I4E0				697128	890724		638238	803688	799211
G5EDC6				2.74454e+06	2.65037e+06	2.37049e+06	3.62801e+06	3.45028e+06	3.74882e+06
G5EDD3;G5EFM4				3.0391e+08	3.20886e+08	3.16194e+08	3.80532e+08	3.92476e+08	3.85964e+08
G5EDD4				6.90349e+06	7.55827e+06	7.75442e+06	8.37473e+06	8.66262e+06	8.72108e+06
G5EDD8				2.67163e+06	2.34683e+06	2.34918e+06	3.051e+06	3.14537e+06	3.12153e+06
G5EDE8				7.0948e+06	7.32686e+06	8.17715e+06	8.53772e+06	9.2583e+06	9.27348e+06
G5EDF5				957846	1.22253e+06	1.08266e+06	1.87318e+06	1.54928e+06	2.08316e+06
G5EDJ3				1.05114e+06	888446	879149	1.24478e+06	789567	936065
G5EDJ6				1.16886e+06			1.61864e+06	2.2716e+06	2.23468e+06
G5EDL9;G5EFP2				8.55048e+06	9.43917e+06	8.72041e+06	1.17837e+07	1.14172e+07	1.06499e+07
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.20862e+07	1.25021e+07	1.15965e+07	1.45889e+07	1.60804e+07	1.45522e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	1.89494e+06	1.27267e+06	2.67749e+06	2.73428e+06	1.16708e+06	1.21963e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.15558e+07	1.23013e+07	1.22721e+07	1.44424e+07	1.55428e+07	1.42945e+07
G5EDP6					1.54982e+06	1.48043e+06	2.06046e+06	1.35271e+06	2.26359e+06
G5EDQ2				1.94336e+06	2.06102e+06	2.64147e+06	2.7143e+06	2.6928e+06	2.03146e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	3.98209e+06	4.05093e+06	4.05034e+06	4.63848e+06	4.82262e+06	5.19924e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				3.10109e+06	3.0489e+06	3.1977e+06	4.18956e+06	4.39686e+06	3.88018e+06
G5EDT4;G5EEP7				1.68149e+06	1.51539e+06		2.19503e+06	2.14595e+06	1.98037e+06
G5EDT9				1.95955e+06	1.43745e+06	1.10755e+06	1.81374e+06	1.55454e+06	1.82803e+06
G5EDV0				144232		303987	150938	733872	388064
G5EDV3				1.07235e+07	1.08779e+07	1.01531e+07	1.38809e+07	1.3379e+07	1.34968e+07
G5EDV7				2.43e+06	2.10831e+06	1.85647e+06	2.54466e+06	2.30612e+06	2.42153e+06
G5EDW8				6.53842e+06	5.78904e+06	5.21296e+06	8.13571e+06	7.51344e+06	7.69766e+06
G5EDY2				3.8509e+06	4.22831e+06	4.29425e+06	4.72421e+06	4.91629e+06	5.51377e+06
G5EDY8;Q8WQC9				1.44476e+06	1.46397e+06	1.46883e+06	1.68625e+06	1.80249e+06	1.67329e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	3.72839e+06	3.75445e+06	3.69145e+06	4.86884e+06	4.65897e+06	4.61796e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		4.86779e+06	5.05275e+06	5.53894e+06	5.73839e+06	6.46055e+06	5.64328e+06
G5EDZ7				1.50361e+06	1.69206e+06	1.57633e+06	1.7778e+06	1.95746e+06	1.83586e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	7.68152e+06	7.57127e+06	7.34918e+06	9.37675e+06	9.60689e+06	8.99453e+06
G5EE04				1.20582e+07	1.17408e+07	1.0652e+07	1.44842e+07	1.38726e+07	1.46702e+07
G5EE09;Q8I4B4;Q9U1P4					1.1266e+06	723490	1.28349e+06	1.32689e+06	1.21764e+06
G5EE11				2.88452e+06	2.58951e+06	2.87258e+06	3.31324e+06	3.49998e+06	2.94005e+06
G5EE12				3.40014e+06	3.2459e+06	3.25872e+06	3.67291e+06	3.89685e+06	3.8378e+06
G5EE41				3.48617e+06	3.634e+06	3.599e+06	4.47861e+06	5.13153e+06	4.38151e+06
G5EE42				3.17623e+06	1.55671e+06	2.17671e+06	3.18187e+06	2.89982e+06	3.06809e+06
G5EE46				5.65426e+06	6.05528e+06	5.73931e+06	6.4352e+06	6.81728e+06	7.255e+06
G5EE67				1.30261e+06	1.76369e+06	1.27264e+06	1.56225e+06	1.92562e+06	1.89236e+06
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	204306	224574		381321	426489	364828
G5EE74				6.06475e+06	5.40244e+06	5.70776e+06	6.76339e+06	6.86112e+06	6.50992e+06
G5EE80				3.22808e+06	2.66995e+06	2.96449e+06	3.98908e+06	4.19352e+06	3.64384e+06
G5EEA2				2.22783e+06	1.85103e+06	1.88853e+06	2.72406e+06	3.02932e+06	2.58147e+06
G5EEA8				1.9622e+07	2.10145e+07	2.1839e+07	2.46674e+07	2.55719e+07	2.64739e+07
G5EEE5				1.11354e+07	1.05782e+07	6.64326e+06	1.17181e+07	9.85405e+06	9.7029e+06
G5EEG4				1.14592e+07	1.13986e+07	1.1774e+07	1.4799e+07	1.46837e+07	1.35365e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	476733	541833	331186	571866	443898	545533
G5EEH6				8.22357e+06	8.5172e+06	8.2114e+06	1.0482e+07	1.04032e+07	1.02444e+07
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.82144e+06	3.25044e+06	3.39099e+06	3.44313e+06	3.29472e+06	3.56647e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	5.71314e+07	5.55864e+07	5.52418e+07	6.49463e+07	6.78345e+07	6.77571e+07
G5EEJ7				1.05039e+07	1.06124e+07	8.82684e+06	1.2248e+07	1.12268e+07	1.13355e+07
G5EEK2				1.19739e+06	1.33224e+06	1.59782e+06	1.72896e+06	1.50443e+06	1.82419e+06
G5EEK8				1.70475e+07	1.76827e+07	2.04887e+07	2.23707e+07	2.14016e+07	2.37505e+07
G5EEK9				7.81965e+06	6.97103e+06	7.07149e+06	7.93638e+06	8.28303e+06	7.65005e+06
G5EEL2				336752			644932		
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.12423e+06	1.40835e+06	1.68118e+06	1.52327e+06	1.56732e+06	1.81065e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1		1.54125e+06		1.64033e+06	1.93082e+06	1.36665e+06
G5EEN7				888580	887536	880454	1.18069e+06	1.16343e+06	1.42138e+06
G5EEQ8				674482	664173	723399	849936	755341	846934
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase		588335	833592	961887	860703	1.03344e+06
G5EER7;G5EG67				708290	755625	539320	902606	859243	888267
G5EES3;G5EGR6				1.19166e+06	1.20432e+06	1.21492e+06	1.34225e+06	1.37549e+06	720409
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	1.98996e+06	2.22384e+06	2.35165e+06	2.6214e+06	2.85526e+06	2.74016e+06
G5EES9				3.98744e+06	4.17387e+06	4.24389e+06	5.09609e+06	5.25819e+06	5.22088e+06
G5EET2				1.99409e+06	1.82473e+06	2.0438e+06	2.42084e+06	2.39909e+06	2.31873e+06
G5EET3				1.45259e+06	1.06294e+06	1.08355e+06	1.57216e+06	1.72119e+06	1.47547e+06
G5EET8				3.52535e+07	3.66016e+07	3.68586e+07	4.19747e+07	4.63042e+07	4.60617e+07
G5EEV5;H2KZS1				5.94905e+06	5.25919e+06	5.67198e+06	7.44696e+06	6.97671e+06	7.06158e+06
G5EEZ4				903690	949147	762147	1.06849e+06	1.16014e+06	874697
G5EF01				2.19585e+06	1.51869e+06	1.49083e+06	1.8173e+06	2.19469e+06	2.36856e+06
G5EF05				1.66655e+06	1.65577e+06	1.69706e+06	2.21168e+06	2.41974e+06	2.30143e+06
G5EF32				3.81738e+07	3.95975e+07	3.89516e+07	4.59598e+07	4.64402e+07	4.80588e+07
G5EF37				7.0598e+07	6.82487e+07	7.15782e+07	9.05729e+07	9.90634e+07	1.01164e+08
G5EF39					403652	797707	624174	757178	564556
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.02187e+06	955648	1.32176e+06	1.33502e+06	1.49635e+06	2.03506e+06
G5EF77				255853					227036
G5EF86				3.62187e+06	4.06143e+06	4.38759e+06	5.13805e+06	5.02022e+06	5.22176e+06
G5EF87;H8ESF3				6.43502e+06	6.89731e+06	5.89409e+06	7.35353e+06	7.51558e+06	7.38766e+06
G5EF97				1.27349e+06	1.4643e+06	1.52563e+06	1.82343e+06	1.9277e+06	1.91709e+06
G5EF99				1.45451e+06	1.67935e+06	1.48651e+06	1.59126e+06	1.87692e+06	1.72048e+06
G5EFB5				5.88572e+06	4.9765e+06	4.82184e+06	5.98739e+06	6.23709e+06	6.58771e+06
G5EFC1				3.7481e+06	3.94178e+06	4.37821e+06	4.70167e+06	4.79968e+06	5.00772e+06
G5EFC4				3.12605e+06	2.27009e+06	3.01125e+06	3.4436e+06	3.16284e+06	3.32877e+06
G5EFC8				998758		942906	1.08021e+06	1.278e+06	1.23546e+06
G5EFD1				4.35055e+06			5.01745e+06	4.81601e+06	4.80325e+06
G5EFD4				772048	790986		1.1033e+06	1.03993e+06	960554
G5EFE3				1.09674e+07	1.06944e+07	1.21227e+07	1.34965e+07	1.46876e+07	1.42256e+07
G5EFF8;Q304D5				3.88876e+06	3.64636e+06	3.57037e+06	5.26885e+06	4.6627e+06	4.83814e+06
G5EFF9;G5EG28				904798		774588	1.0966e+06	772112	906560
G5EFG4				8.74561e+06	9.19182e+06	9.26993e+06	1.11729e+07	1.06477e+07	1.09676e+07
G5EFH0				2.31698e+06	2.24118e+06	2.55637e+06	2.85526e+06	2.99022e+06	2.70026e+06
G5EFH8				1.59149e+06	1.82443e+06	1.88145e+06	2.05393e+06	2.40705e+06	2.20538e+06
G5EFI4				1.46975e+07	1.60964e+07	1.63791e+07	1.83844e+07	2.01493e+07	1.96183e+07
G5EFJ0;G5EGS3					725433		938523	957609	951595
G5EFJ8						290617	304701	244034	648208
G5EFK4				6.89272e+06	8.06587e+06	7.7171e+06	8.9238e+06	9.97042e+06	1.08637e+07
G5EFL1					52667.1		79594.3	77019.2	152340
G5EFL5				6.11562e+06	5.85966e+06	6.2309e+06	7.45601e+06	7.2609e+06	7.43885e+06
G5EFP3				561839	498856	661529	698916	506494	649509
G5EFP4				1.6606e+06	1.84416e+06	1.50954e+06	2.33243e+06	2.58219e+06	2.32635e+06
G5EFR0						1.62255e+06	2.32343e+06	2.1909e+06	2.33712e+06
G5EFS2				2.14398e+06	2.06265e+06	1.94303e+06	2.73751e+06	2.47924e+06	2.69604e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	3.10787e+06	2.4122e+06	2.33568e+06	3.25016e+06	2.53145e+06	3.00494e+06
G5EFS5;Q9N5T2				2.90699e+07	2.76138e+07	2.91194e+07	3.47447e+07	3.63172e+07	3.62322e+07
G5EFV4				1.13106e+07	1.2471e+07	1.26185e+07	1.26708e+07	1.5747e+07	1.56495e+07
G5EFY6				913846	709451	704907	1.04509e+06	912965	741975
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.48616e+07	1.50257e+07	1.52167e+07	1.84586e+07	1.8647e+07	1.83833e+07
G5EFZ5;G5EG22				1.88581e+06	1.82394e+06		1.53823e+06	1.7176e+06	1.67607e+06
G5EG13				5.4433e+06	5.09577e+06	7.13489e+06	6.76963e+06	6.77296e+06	6.87747e+06
G5EG18				1.82418e+06	1.67484e+06	1.85774e+06	1.95934e+06	2.06293e+06	2.16835e+06
G5EG50				1.57318e+06	1.64059e+06	1.34925e+06	1.90688e+06	1.92705e+06	1.86241e+06
G5EG58				1.25549e+06	1.23582e+06	1.32362e+06	1.64983e+06	1.42618e+06	1.37877e+06
G5EG62				1.81126e+06	1.75439e+06	1.95696e+06	2.38957e+06	2.29449e+06	2.27118e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	6.55274e+06	6.31817e+06	6.81728e+06	7.35028e+06	7.96413e+06	8.01927e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.26212e+06	1.42714e+06	994846	1.25869e+06	1.13115e+06	1.26509e+06
G5EGA7				724308		500687	812926	677390	641453
G5EGB1				7.28729e+07	7.02368e+07	6.94364e+07	8.53828e+07	8.59545e+07	8.25408e+07
G5EGB3				916751	528068	321620	775810	630252	661713
G5EGG0;Q2EEM5				700639	533270	341772	842562	1.05794e+06	875356
G5EGK1				6.33274e+06	6.22193e+06	6.57541e+06	7.69772e+06	7.87012e+06	8.41991e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	3.77111e+06	3.82455e+06	4.75017e+06	4.11693e+06	5.88065e+06	5.4894e+06
G5EGL2				1.09532e+07	1.08365e+07	1.12248e+07	1.13851e+07	1.13226e+07	1.18852e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	1.03742e+06	839290	868660	1.40015e+06	1.53898e+06	1.18099e+06
G5EGP4				4.8959e+06	4.53666e+06	4.15801e+06	5.63343e+06	5.88559e+06	5.50472e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.58659e+07	1.33495e+07	1.4433e+07	1.92808e+07	1.87434e+07	1.80049e+07
G5EGS5							281624		
G5EGS9				69815.6	79004.3			85041.1	122937
G5EGT6;Q9N574				255150	300868			325597	492717
G5EGT7				3.38738e+06	3.30506e+06	3.32751e+06	4.33828e+06	4.2179e+06	4.17048e+06
G5EGU1				3.7406e+06	3.34489e+06	3.18631e+06	4.39284e+06	3.9388e+06	3.70585e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		1.51832e+06	1.41331e+06	1.4472e+06	1.96559e+06	1.97457e+06	1.90144e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		9.6203e+07	9.62857e+07	9.65591e+07	1.16467e+08	1.22311e+08	1.2126e+08
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		1.07446e+07	1.41356e+07	1.49945e+07	1.54522e+07	1.6425e+07	1.79417e+07
G8JY63;Q19200	STO1_CAEEL	sto-1		273208	390719	338223	465733	401530	415054
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.16498e+07	1.55242e+07	1.66398e+07	1.34939e+07	1.69098e+07	2.45921e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		6.83251e+07	6.78478e+07	6.29649e+07	8.44452e+07	8.35894e+07	7.92233e+07
G8JYE4;P91406	GCP2_CAEEL	gcp-2.1		2.2455e+06	2.55615e+06	1.66822e+06	1.63526e+06	1.73481e+06	2.1247e+06
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		4.45551e+06	4.09729e+06	4.35866e+06	6.22849e+06	5.44991e+06	5.94053e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		7.49785e+07	9.30568e+07	7.44792e+07	1.02441e+08	9.28093e+07	8.85228e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.14015e+06	1.21536e+06	1.42825e+06	1.5362e+06	1.49107e+06	1.79859e+06
H2FLJ1				3.97643e+06	4.19544e+06	4.25715e+06	5.34943e+06	5.50642e+06	6.081e+06
H2FLK8				2.48701e+07	2.68086e+07	2.75923e+07	3.17165e+07	3.36931e+07	3.3568e+07
H2FLK9				1.17156e+06	1.14931e+06	1.29338e+06	1.55916e+06	1.66577e+06	1.74588e+06
H2KMJ3				2.82902e+06	2.28685e+06	2.33515e+06	3.30228e+06	3.46966e+06	3.49579e+06
H2KMK6				1.487e+06	1.07668e+06	1.72248e+06	1.58381e+06	1.60218e+06	1.66915e+06
H2KY60								521446	
H2KYB8;H2KYB9				301748		314871	319468	346964	547530
H2KYC4;H2KYC6				4.17512e+06	4.04006e+06	4.13048e+06	5.46753e+06	5.61356e+06	4.83896e+06
H2KYC9;Q8MQF7;V6CLC8				2.53249e+06	2.85865e+06	3.07487e+06	3.40001e+06	3.30693e+06	3.92471e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		2.15155e+06	2.52557e+06	2.59817e+06	2.5294e+06	3.19227e+06	3.09995e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	7.55464e+06	7.68151e+06	7.38807e+06	8.92051e+06	9.27183e+06	9.38997e+06
H2KYG4;O45137						288448			906689
H2KYH5;Q95QX5				2.98425e+06	2.77989e+06	2.74154e+06	3.92294e+06	3.59951e+06	3.9078e+06
H2KYI5;Q86NI2				5.50054e+06	4.91369e+06	4.82632e+06	6.46027e+06	6.75298e+06	6.36428e+06
H2KYJ2				4.59424e+06	3.69906e+06	4.51713e+06	5.66201e+06	5.4323e+06	5.32046e+06
H2KYJ5				6.71687e+06	7.18487e+06	7.19185e+06	7.99797e+06	8.42743e+06	8.23062e+06
H2KYM1				2.5795e+06	2.44254e+06	2.48581e+06	2.91522e+06	3.23415e+06	3.08721e+06
H2KYN3				636391	462987	453773	561951	666956	615125
H2KYN5;O16466	ATG18_CAEEL	atg-18			1.46986e+06	1.35546e+06	1.10856e+06	1.68393e+06	
H2KYN6				113465	208922	108145	215667	192606	177471
H2KYP1;Q8I7L5				1.01347e+06	1.24257e+06	1.23576e+06	1.54914e+06	1.8158e+06	1.57454e+06
H2KYP2;H2KYP4				1.12239e+06	1.04148e+06		1.16442e+06	1.04859e+06	1.05071e+06
H2KYQ2;H2KYQ3;Q17921				1.5426e+06	1.37199e+06	1.13227e+06	1.89565e+06	1.85077e+06	1.56189e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	8.39255e+06	7.94609e+06	8.52411e+06	9.97888e+06	1.03553e+07	1.07324e+07
H2KYR1				4.68973e+07	4.71289e+07	4.60501e+07	5.90914e+07	6.06681e+07	6.05724e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.12937e+06	1.02894e+06	1.05168e+06	1.49585e+06	1.39587e+06	1.35195e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	2.86988e+06	3.41592e+06	2.84642e+06	4.26419e+06	3.7339e+06	3.26836e+06
H2KYV1				6.54608e+06	6.09654e+06	5.77345e+06	7.81334e+06	7.64032e+06	7.44466e+06
H2KYV3;Q18076				7.31104e+06	7.58832e+06	7.77742e+06	8.70474e+06	9.23222e+06	9.18552e+06
H2KYV8;Q8MNV5				529457	566149	842202	805670	1.02898e+06	985484
H2KYV9;Q86NJ8				1.08974e+06	782784	894964	1.2227e+06	1.25649e+06	1.13315e+06
H2KYX9;H2KYY0;U4PRA9				2.42392e+06	2.64009e+06	2.76888e+06	3.61837e+06	3.98768e+06	3.48744e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.4084e+07	1.32591e+07	1.26394e+07	1.61577e+07	1.60455e+07	1.6684e+07
H2KYY8;H2KYY9;H2KYZ2;Q8MPW4									1.22026e+06
H2KZ18;H2KZ19				2.66053e+06	2.92813e+06	2.64953e+06	3.33356e+06	3.69312e+06	3.74833e+06
H2KZ37				2.06024e+06		2.44733e+06	1.6573e+06	3.41778e+06	3.05188e+06
H2KZ48				643848	629889	468024	1.11723e+06	912559	804770
H2KZ73;H8W3Y1;Q8T3B7				3.39742e+06	3.68833e+06	3.9955e+06	4.65272e+06	4.67996e+06	4.21337e+06
H2KZA2;Q95Q55					1.36638e+06		1.57617e+06	1.90557e+06	1.62005e+06
H2KZA5;Q8ITY8				2.7332e+06	3.48934e+06	2.96178e+06	4.05852e+06	4.17569e+06	3.63763e+06
H2KZA6;Q8ITY9				1.20792e+06	2.76138e+06	1.47677e+06		1.2717e+06	1.61994e+06
H2KZD5;Q27GU1				2.66888e+06	2.85784e+06	2.64131e+06	3.27539e+06	3.29091e+06	2.91788e+06
H2KZG6				1.42828e+08	1.37263e+08	1.3849e+08	1.72624e+08	1.75516e+08	1.77451e+08
H2KZJ5				5.76525e+06	5.23093e+06	5.6418e+06	7.1337e+06	7.12817e+06	7.19049e+06
H2KZK7;Q965K3				1.50414e+06	1.69286e+06	1.64323e+06	1.75226e+06	1.64183e+06	1.77952e+06
H2KZL7;Q8IG31				9.08419e+07	9.20973e+07	9.61166e+07	1.13601e+08	1.15701e+08	1.15379e+08
H2KZR3;O76566				1.691e+06	1.81296e+06	1.92977e+06	2.22176e+06	2.24056e+06	2.34279e+06
H2KZS4				4.83432e+06	5.24405e+06	4.59907e+06	5.91095e+06	6.08237e+06	5.60848e+06
H2KZV5				1.14965e+07	1.00503e+07	8.88207e+06	1.467e+07	1.54666e+07	1.52e+07
H2KZV8;L8E6X8;Q9GP94;Q9GP96				2.15267e+07	2.19557e+07	2.15804e+07	2.63287e+07	2.63682e+07	2.72433e+07
H2KZX4;Q7JP80				1.64735e+06	2.06202e+06	1.72043e+06	2.48579e+06	2.53625e+06	2.36347e+06
H2L003;Q3Y409				175592	186459	163096	360279	271887	258753
