Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	2.66061e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.32024e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	2.36594e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	2.49164e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	3.51618e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.98336e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	4.53914e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5.05294e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	5.07599e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	1.6982e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	3.32788e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	1.87291e+08
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.24967e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.98249e+07
O43474	KLF4_HUMAN	KLF4	Krueppel-like factor 4	559680
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	5.35149e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	1.36325e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	3.88356e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	5.02363e+06
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.16187e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.34375e+07
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	3.31172e+06
O43524	FOXO3_HUMAN	FOXO3	Forkhead box protein O3	3.16322e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	7.93207e+06
O43566	RGS14_HUMAN	RGS14	Regulator of G-protein signaling 14	9.18177e+06
O43567	RNF13_HUMAN	RNF13	E3 ubiquitin-protein ligase RNF13	9.83003e+06
O43572	AKA10_HUMAN	AKAP10	A-kinase anchor protein 10, mitochondrial	528523
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.1221e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.06579e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	8.32792e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1.08243e+07
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2.58078e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	5.60557e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	1.51778e+06
O43653	PSCA_HUMAN	PSCA	Prostate stem cell antigen	1.39907e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.3015e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	9.99003e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2.39979e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.25274e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	3.58542e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.36657e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	1.98496e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	4.27239e+07
O43704	ST1B1_HUMAN	SULT1B1	Sulfotransferase 1B1	2.12948e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	8.65153e+08
O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	2.60306e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	5.18225e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	2.59466e+07
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1.91079e+07
O43752	STX6_HUMAN	STX6	Syntaxin-6	9.07448e+06
O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	7.37728e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	2.75144e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	1.65522e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	8.06768e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1.38054e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	4.10654e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	2.68972e+07
O43815	STRN_HUMAN	STRN	Striatin	6.85207e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	1.3427e+07
O43819	SCO2_HUMAN	SCO2	Protein SCO2 homolog, mitochondrial	3.72829e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	7.7294e+06
O43824	GTPB6_HUMAN	GTPBP6	Putative GTP-binding protein 6	4.10316e+06
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	1.54264e+07
O43847	NRDC_HUMAN	NRDC	Nardilysin	1.20213e+07
O43852	CALU_HUMAN	CALU	Calumenin	1.06456e+08
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	7.06226e+07
O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	4.24778e+06
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	7.01898e+06
O43933	PEX1_HUMAN	PEX1	Peroxisomal ATPase PEX1	3.76339e+06
O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	1.16547e+07
O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	4.61112e+07
O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	3.86658e+06
O60229	KALRN_HUMAN	KALRN	Kalirin	2.62472e+06
O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	2.98943e+08
O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma	1.62623e+08
O60237	MYPT2_HUMAN	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B	8.02371e+06
O60244	MED14_HUMAN	MED14	Mediator of RNA polymerase II transcription subunit 14	3.98637e+06
O60245	PCDH7_HUMAN	PCDH7	Protocadherin-7	2.22903e+06
O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	3.19375e+07
O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	3.71898e+07
O60268	K0513_HUMAN	KIAA0513	Uncharacterized protein KIAA0513	1.16435e+06
O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	1.12502e+07
O60292	SI1L3_HUMAN	SIPA1L3	Signal-induced proliferation-associated 1-like protein 3	6.21236e+06
O60296	TRAK2_HUMAN	TRAK2	Trafficking kinesin-binding protein 2	1.87862e+08
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	9.64374e+06
O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	1.98324e+07
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	380016
O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	5.09204e+06
O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	2.1838e+07
O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	1.52329e+07
O60437	PEPL_HUMAN	PPL	Periplakin	3.75542e+08
O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75	2.03939e+06
O60476	MA1A2_HUMAN	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	1.59561e+06
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	1.25727e+07
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	4.84167e+07
O60496	DOK2_HUMAN	DOK2	Docking protein 2	3.05064e+07
O60499	STX10_HUMAN	STX10	Syntaxin-10	8.45243e+06
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	2.27918e+07
O60504	VINEX_HUMAN	SORBS3	Vinexin	2.96968e+07
O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	8.44686e+07
O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	4.41357e+06
O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	6.81902e+06
O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	5.76169e+07
O60565	GREM1_HUMAN	GREM1	Gremlin-1	9.37455e+07
O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	3.89586e+07
O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	1.16127e+07
O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	3.13015e+07
O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	7.67261e+06
O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	1.23271e+07
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	8.62126e+07
O60669	MOT2_HUMAN	SLC16A7	Monocarboxylate transporter 2	2.30286e+06
O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	2.81009e+07
O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	1.24824e+07
O60687	SRPX2_HUMAN	SRPX2	Sushi repeat-containing protein SRPX2	7.9904e+06
O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	3.28577e+08
O60711	LPXN_HUMAN	LPXN	Leupaxin	6.073e+06
O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	3.56056e+07
O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	6.16772e+07
O60760	HPGDS_HUMAN	HPGDS	Hematopoietic prostaglandin D synthase	4.05173e+06
O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	1.29707e+07
O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	1.46416e+08
O60765	Z354A_HUMAN	ZNF354A	Zinc finger protein 354A	4.8462e+06
O60783	RT14_HUMAN	MRPS14	Small ribosomal subunit protein uS14m	8.44032e+06
O60784	TOM1_HUMAN	TOM1	Target of Myb1 membrane trafficking protein	2.58667e+07
O60825	F262_HUMAN	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	1.03752e+07
O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22	1.58942e+07
O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	7.45548e+06
O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	1.94448e+07
O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	4.90938e+07
O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	1.29815e+07
O60861	GAS7_HUMAN	GAS7	Growth arrest-specific protein 7	7.92707e+06
O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	2.96175e+07
O60870	KIN17_HUMAN	KIN	DNA/RNA-binding protein KIN17	5.45554e+06
O60879	DIAP2_HUMAN	DIAPH2	Protein diaphanous homolog 2	4.24696e+07
O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	1.36025e+07
O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	6.00485e+06
O60888	CUTA_HUMAN	CUTA	Protein CutA	2.99384e+07
O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	3.06552e+07
O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11	2.02464e+06
O60934	NBN_HUMAN	NBN	Nibrin	2.44708e+07
O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	8.04195e+06
O75027	ABCB7_HUMAN	ABCB7	Iron-sulfur clusters transporter ABCB7, mitochondrial	3.70182e+06
O75037	KI21B_HUMAN	KIF21B	Kinesin-like protein KIF21B	2.14318e+07
O75044	SRGP2_HUMAN	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	5.09322e+06
O75052	CAPON_HUMAN	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	1.20008e+06
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	1.65686e+08
O75110	ATP9A_HUMAN	ATP9A	Probable phospholipid-transporting ATPase IIA	1.2349e+07
O75113	N4BP1_HUMAN	N4BP1	NEDD4-binding protein 1	3.48644e+07
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	3.31985e+07
O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	6.41469e+06
O75127	PTCD1_HUMAN	PTCD1	Pentatricopeptide repeat-containing protein 1, mitochondrial	2.50326e+06
O75131	CPNE3_HUMAN	CPNE3	Copine-3	1.5191e+08
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand	3.78955e+06
O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein	2.9215e+07
O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	7.14275e+06
O75152	ZC11A_HUMAN	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	5.85214e+06
O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	8.0572e+07
O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	3.11491e+07
O75170	PP6R2_HUMAN	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	3.35606e+06
O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	3.07236e+07
O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17	3.83683e+06
O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	7.40201e+06
O75191	XYLB_HUMAN	XYLB	Xylulose kinase	4.74392e+06
O75208	COQ9_HUMAN	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	5.89445e+06
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1.81184e+07
O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	1.95436e+07
O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	1.61837e+07
O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	7.51013e+06
O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	6.08008e+07
O75339	CILP1_HUMAN	CILP	Cartilage intermediate layer protein 1	1.41868e+07
O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	8.21654e+07
O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	7.58232e+07
O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	3.55473e+07
O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	3.09102e+07
O75356	ENTP5_HUMAN	ENTPD5	Nucleoside diphosphate phosphatase ENTPD5	785187
O75363	BCAS1_HUMAN	BCAS1	Breast carcinoma-amplified sequence 1	4.27007e+07
O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	2.64366e+08
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL	6.77246e+07
O75369	FLNB_HUMAN	FLNB	Filamin-B	5.08318e+07
O75376	NCOR1_HUMAN	NCOR1	Nuclear receptor corepressor 1	5.65363e+06
O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	2.41771e+07
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	1.37982e+08
O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	6.80236e+06
O75394	RM33_HUMAN	MRPL33	Large ribosomal subunit protein bL33m	8.04037e+06
O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	7.92168e+07
O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	2.46732e+07
O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1	1.19632e+07
O75420	GGYF1_HUMAN	GIGYF1	GRB10-interacting GYF protein 1	3.39081e+06
O75427	LRCH4_HUMAN	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4	7.52128e+06
O75431	MTX2_HUMAN	MTX2	Metaxin-2	4.57827e+06
O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	3.19706e+07
O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	1.90301e+07
O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	1.30046e+07
O75448	MED24_HUMAN	MED24	Mediator of RNA polymerase II transcription subunit 24	1.30709e+06
O75449	KTNA1_HUMAN	KATNA1	Katanin p60 ATPase-containing subunit A1	6.53702e+06
O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	1.19339e+07
O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	2.07946e+07
O75487	GPC4_HUMAN	GPC4	Glypican-4	6.85274e+06
O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	2.38576e+07
O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	2.38401e+07
O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1	2.33295e+07
O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	1.40937e+07
O75525	KHDR3_HUMAN	KHDRBS3	KH domain-containing, RNA-binding, signal transduction-associated protein 3	1.85568e+06
O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	3.53354e+07
O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	1.90187e+08
O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	1.72796e+07
O75558	STX11_HUMAN	STX11	Syntaxin-11	5.81252e+06
O75563	SKAP2_HUMAN	SKAP2	Src kinase-associated phosphoprotein 2	8.85854e+06
O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	7.90733e+06
O75581	LRP6_HUMAN	LRP6	Low-density lipoprotein receptor-related protein 6	2.78727e+07
O75586	MED6_HUMAN	MED6	Mediator of RNA polymerase II transcription subunit 6	2.80936e+06
O75592	MYCB2_HUMAN	MYCBP2	E3 ubiquitin-protein ligase MYCBP2	2.5255e+07
O75594	PGRP1_HUMAN	PGLYRP1	Peptidoglycan recognition protein 1	1.40096e+07
O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	7.09552e+06
O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	4.19374e+07
O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial	4.09321e+06
O75629	CREG1_HUMAN	CREG1	Protein CREG1	2.68663e+07
O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	2.55875e+08
O75648	MTU1_HUMAN	TRMU	Mitochondrial tRNA-specific 2-thiouridylase 1	1.50335e+07
O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	1.07055e+07
O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	3.71892e+06
O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	1.36266e+07
O75689	ADAP1_HUMAN	ADAP1	Arf-GAP with dual PH domain-containing protein 1	8.19088e+06
O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	2.04223e+07
O75695	XRP2_HUMAN	RP2	Protein XRP2	9.3973e+07
O75715	GPX5_HUMAN	GPX5	Epididymal secretory glutathione peroxidase	4.50048e+08
O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	1.12628e+07
O75746	S2512_HUMAN	SLC25A12	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial	1.10634e+07
O75781	PALM_HUMAN	PALM	Paralemmin-1	1.48488e+07
O75787	RENR_HUMAN	ATP6AP2	Renin receptor	2.56408e+06
O75791	GRAP2_HUMAN	GRAP2	GRB2-related adapter protein 2	2.6517e+06
O75792	RNH2A_HUMAN	RNASEH2A	Ribonuclease H2 subunit A	1.41195e+06
O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	3.78182e+07
O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	4.68516e+07
O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	1.79908e+07
O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	1.54857e+07
O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	1.62092e+07
O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	2.77134e+08
O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial	2.02228e+07
O75884	RBBP9_HUMAN	RBBP9	Serine hydrolase RBBP9	1.62706e+07
O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2	1.82774e+07
O75909	CCNK_HUMAN	CCNK	Cyclin-K	4.92741e+06
O75911	DHRS3_HUMAN	DHRS3	Short-chain dehydrogenase/reductase 3	1.01603e+07
O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	5.18222e+07
O75923	DYSF_HUMAN	DYSF	Dysferlin	5.05212e+06
O75925	PIAS1_HUMAN	PIAS1	E3 SUMO-protein ligase PIAS1	7.86958e+06
O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	4.36566e+07
O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	1.68509e+07
O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	2.21024e+07
O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	1.30472e+07
O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	6.43675e+07
O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	5.0994e+07
O75962	TRIO_HUMAN	TRIO	Triple functional domain protein	6.62968e+06
O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	1.50982e+07
O75971	SNPC5_HUMAN	SNAPC5	snRNA-activating protein complex subunit 5	1.9548e+07
O75976	CBPD_HUMAN	CPD	Carboxypeptidase D	4.28312e+07
O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	2.80802e+07
O76011	KRT34_HUMAN	KRT34	Keratin, type I cuticular Ha4	3.24812e+07
O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	1.89859e+07
O76024	WFS1_HUMAN	WFS1	Wolframin	2.02599e+06
O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	5.96084e+06
O76054	S14L2_HUMAN	SEC14L2	SEC14-like protein 2	5.55839e+06
O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1	9.10172e+06
O76074	PDE5A_HUMAN	PDE5A	cGMP-specific 3',5'-cyclic phosphodiesterase	5.07488e+06
O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	2.93847e+07
O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	8.32087e+07
O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	3.46429e+07
O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10	6.71612e+06
O94808	GFPT2_HUMAN	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	3.18793e+06
O94819	KBTBB_HUMAN	KBTBD11	Kelch repeat and BTB domain-containing protein 11	6.49805e+06
O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	3.76247e+07
O94832	MYO1D_HUMAN	MYO1D	Unconventional myosin-Id	2.73076e+07
O94842	TOX4_HUMAN	TOX4	TOX high mobility group box family member 4	4.19827e+06
O94850	DEND_HUMAN	DDN	Dendrin	5.65786e+07
O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2	1.64916e+06
O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D	1.80267e+07
O94868	FCSD2_HUMAN	FCHSD2	F-BAR and double SH3 domains protein 2	1.09585e+06
O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	1.9125e+07
O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2	9.6787e+07
O94880	PHF14_HUMAN	PHF14	PHD finger protein 14	1.01985e+07
O94886	CSCL1_HUMAN	TMEM63A	CSC1-like protein 1	2.97788e+07
O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7	4.91966e+06
O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	2.78298e+07
O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	2.99777e+07
O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	2.21811e+07
O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	3.39671e+07
O94915	FRYL_HUMAN	FRYL	Protein furry homolog-like	4.45585e+06
O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein	1.31625e+07
O94921	CDK14_HUMAN	CDK14	Cyclin-dependent kinase 14	6.50804e+06
O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	8.11265e+06
O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19	3.88981e+06
O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2	2.14127e+07
O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	1.08821e+08
O94985	CSTN1_HUMAN	CLSTN1	Calsyntenin-1	7.76382e+06
O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	3.70306e+06
O95049	ZO3_HUMAN	TJP3	Tight junction protein ZO-3	8.05115e+06
O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5	2.23053e+07
O95081	AGFG2_HUMAN	AGFG2	Arf-GAP domain and FG repeat-containing protein 2	3.95019e+06
