Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	9.817e+06
O15504	NUP42_HUMAN	NUP42	Nucleoporin NUP42	2.62735e+06
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	6.18339e+07
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	1.64807e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	1.74066e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.39752e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	1.39353e+06
O15550	KDM6A_HUMAN	KDM6A	Lysine-specific demethylase 6A	708184
O15551	CLD3_HUMAN	CLDN3	Claudin-3	9.06486e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	1.20787e+08
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	1.95073e+07
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	2.90789e+06
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	793710
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	8.33915e+06
O43166	SI1L1_HUMAN	SIPA1L1	Signal-induced proliferation-associated 1-like protein 1	1.55779e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1.83998e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.90345e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.29477e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	4.29101e+06
O43182	RHG06_HUMAN	ARHGAP6	Rho GTPase-activating protein 6	7.05855e+06
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	2.86982e+07
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	1.70925e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.08332e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.75472e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.21778e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.51237e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	8.39895e+07
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	7.27248e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	3.46074e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	1.83544e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.67735e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	707275
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	864916
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.29046e+06
O43303	CP110_HUMAN	CCP110	Centriolar coiled-coil protein of 110 kDa	463811
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.54015e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	2.41119e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	2.61958e+07
O43347	MSI1H_HUMAN	MSI1	RNA-binding protein Musashi homolog 1	3.18971e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	1.07935e+08
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	3.47367e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1.51118e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	4.73083e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	5.49814e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	2.00177e+06
O43414	ERI3_HUMAN	ERI3	ERI1 exoribonuclease 3	1.65912e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	3.82267e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	2.08493e+07
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2.69407e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.73062e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	6.28324e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	8.58657e+06
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	7.25275e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	1.29569e+06
O43497	CAC1G_HUMAN	CACNA1G	Voltage-dependent T-type calcium channel subunit alpha-1G	1.8141e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	1.4168e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	2.22774e+06
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	634800
O43524	FOXO3_HUMAN	FOXO3	Forkhead box protein O3	535313
O43566	RGS14_HUMAN	RGS14	Regulator of G-protein signaling 14	3.97905e+06
O43567	RNF13_HUMAN	RNF13	E3 ubiquitin-protein ligase RNF13	2.63423e+06
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	3.23889e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.93284e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.40649e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	5.65285e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1.30478e+07
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.94816e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.08346e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	2.08992e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.48374e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	2.41145e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3.94083e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.18584e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	4.78633e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.35581e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	3.36013e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	6.80449e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	2.01493e+08
O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	7.51492e+06
O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	1.95461e+07
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	4.61993e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	9.26459e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	1.84789e+07
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	2.03455e+07
O43752	STX6_HUMAN	STX6	Syntaxin-6	1.30592e+07
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	6.04285e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	1.68284e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	5.86252e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1.77972e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	5.74544e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4.42378e+07
O43815	STRN_HUMAN	STRN	Striatin	4.49448e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	1.56157e+07
O43819	SCO2_HUMAN	SCO2	Protein SCO2 homolog, mitochondrial	2.47709e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	8.26795e+06
O43824	GTPB6_HUMAN	GTPBP6	Putative GTP-binding protein 6	7.81029e+06
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	1.06446e+07
O43847	NRDC_HUMAN	NRDC	Nardilysin	6.58576e+06
O43852	CALU_HUMAN	CALU	Calumenin	3.98205e+07
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	4.30269e+07
O43913	ORC5_HUMAN	ORC5	Origin recognition complex subunit 5	1.61977e+06
O43914	TYOBP_HUMAN	TYROBP	TYRO protein tyrosine kinase-binding protein	923717
O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	4.56601e+06
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	3.46221e+06
O43929	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4	4.776e+06
O43933	PEX1_HUMAN	PEX1	Peroxisomal ATPase PEX1	8.40802e+06
O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	2.27561e+07
O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	2.26359e+07
O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	1.97632e+07
O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	9.95231e+06
O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma	2.70604e+07
O60244	MED14_HUMAN	MED14	Mediator of RNA polymerase II transcription subunit 14	9.06578e+06
O60245	PCDH7_HUMAN	PCDH7	Protocadherin-7	569597
O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	1.45932e+07
O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	3.87947e+07
O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	9.93623e+06
O60281	ZN292_HUMAN	ZNF292	Zinc finger protein 292	213636
O60282	KIF5C_HUMAN	KIF5C	Kinesin heavy chain isoform 5C	964668
O60287	NPA1P_HUMAN	URB1	Nucleolar pre-ribosomal-associated protein 1	5.18204e+07
O60293	ZC3H1_HUMAN	ZFC3H1	Zinc finger C3H1 domain-containing protein	3.34634e+06
O60294	TYW4_HUMAN	LCMT2	tRNA wybutosine-synthesizing protein 4	3.80155e+06
O60296	TRAK2_HUMAN	TRAK2	Trafficking kinesin-binding protein 2	7.49137e+07
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	9.69237e+06
O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	1.96068e+07
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	2.56783e+06
O60331	PI51C_HUMAN	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	2.02987e+06
O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	3.87517e+06
O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	1.41313e+07
O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	6.37466e+06
O60427	FADS1_HUMAN	FADS1	Acyl-CoA (8-3)-desaturase	805215
O60437	PEPL_HUMAN	PPL	Periplakin	4.26909e+07
O60443	GSDME_HUMAN	GSDME	Gasdermin-E	2.28477e+06
O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75	862967
O60462	NRP2_HUMAN	NRP2	Neuropilin-2	544860
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	6.16709e+06
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	4.31711e+07
O60499	STX10_HUMAN	STX10	Syntaxin-10	3.89317e+06
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	1.39976e+07
O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	1.91768e+08
O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	7.21512e+06
O60513	B4GT4_HUMAN	B4GALT4	Beta-1,4-galactosyltransferase 4	799591
O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	7.0434e+06
O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	1.72562e+07
O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	4.55258e+06
O60563	CCNT1_HUMAN	CCNT1	Cyclin-T1	4.24145e+06
O60566	BUB1B_HUMAN	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	1.05708e+06
O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	1.4949e+07
O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	8.86911e+06
O60583	CCNT2_HUMAN	CCNT2	Cyclin-T2	966344
O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	2.25269e+07
O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	2.41776e+06
O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	9.66838e+06
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	2.39774e+07
O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	1.80743e+07
O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	1.15461e+07
O60687	SRPX2_HUMAN	SRPX2	Sushi repeat-containing protein SRPX2	2.51999e+06
O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	7.82188e+07
O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	3.35437e+07
O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	1.46892e+07
O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	8.23229e+06
O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	2.93729e+07
O60783	RT14_HUMAN	MRPS14	Small ribosomal subunit protein uS14m	1.59257e+07
O60784	TOM1_HUMAN	TOM1	Target of Myb1 membrane trafficking protein	6.91549e+06
O60825	F262_HUMAN	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	1.39473e+06
O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22	1.65184e+07
O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	1.0672e+07
O60830	TI17B_HUMAN	TIMM17B	Mitochondrial import inner membrane translocase subunit Tim17-B	1.22507e+06
O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	3.05788e+07
O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	8.99187e+07
O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	1.51485e+07
O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	1.6803e+07
O60870	KIN17_HUMAN	KIN	DNA/RNA-binding protein KIN17	1.99177e+06
O60879	DIAP2_HUMAN	DIAPH2	Protein diaphanous homolog 2	4.35637e+06
O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	2.7571e+07
O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	1.43661e+07
O60888	CUTA_HUMAN	CUTA	Protein CutA	2.07152e+07
O60902	SHOX2_HUMAN	SHOX2	Short stature homeobox protein 2	3.45526e+07
O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	2.49302e+07
O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11	3.3184e+06
O60930	RNH1_HUMAN	RNASEH1	Ribonuclease H1	697425
O60934	NBN_HUMAN	NBN	Nibrin	8.26009e+06
O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	2.68175e+06
O60942	MCE1_HUMAN	RNGTT	mRNA-capping enzyme	2.27289e+06
O75027	ABCB7_HUMAN	ABCB7	Iron-sulfur clusters transporter ABCB7, mitochondrial	2.3953e+06
O75037	KI21B_HUMAN	KIF21B	Kinesin-like protein KIF21B	1.31588e+07
O75044	SRGP2_HUMAN	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	4.39665e+06
O75052	CAPON_HUMAN	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	6.88017e+06
O75054	IGSF3_HUMAN	IGSF3	Immunoglobulin superfamily member 3	3.19888e+06
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	5.82628e+07
O75084	FZD7_HUMAN	FZD7	Frizzled-7	2.21665e+06
O75110	ATP9A_HUMAN	ATP9A	Probable phospholipid-transporting ATPase IIA	1.54237e+06
O75113	N4BP1_HUMAN	N4BP1	NEDD4-binding protein 1	3.89224e+07
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	2.312e+07
O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	2.40925e+07
O75127	PTCD1_HUMAN	PTCD1	Pentatricopeptide repeat-containing protein 1, mitochondrial	2.05045e+07
O75131	CPNE3_HUMAN	CPNE3	Copine-3	5.22468e+07
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand	1.94979e+06
O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein	1.05983e+07
O75147	OBSL1_HUMAN	OBSL1	Obscurin-like protein 1	3.95981e+06
O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	7.36017e+06
O75151	PHF2_HUMAN	PHF2	Lysine-specific demethylase PHF2	4.97353e+06
O75152	ZC11A_HUMAN	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	8.67873e+06
O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	5.67008e+07
O75164	KDM4A_HUMAN	KDM4A	Lysine-specific demethylase 4A	1.53218e+06
O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	7.24406e+06
O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	1.02303e+08
O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17	3.48482e+06
O75182	SIN3B_HUMAN	SIN3B	Paired amphipathic helix protein Sin3b	1.06687e+06
O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	2.35538e+07
O75191	XYLB_HUMAN	XYLB	Xylulose kinase	3.27776e+06
O75208	COQ9_HUMAN	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	1.84462e+07
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1.35122e+07
O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	8.74741e+06
O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	6.97036e+07
O75310	UDB11_HUMAN	UGT2B11	UDP-glucuronosyltransferase 2B11	1.15114e+07
O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	7.67437e+06
O75319	DUS11_HUMAN	DUSP11	RNA/RNP complex-1-interacting phosphatase	4.58829e+06
O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	7.57946e+07
O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	5.00805e+07
O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	6.29187e+07
O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	1.28763e+07
O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	2.36438e+07
O75356	ENTP5_HUMAN	ENTPD5	Nucleoside diphosphate phosphatase ENTPD5	439122
O75365	TP4A3_HUMAN	PTP4A3	Protein tyrosine phosphatase type IVA 3	1.05683e+06
O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	5.091e+08
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL	2.80245e+07
O75369	FLNB_HUMAN	FLNB	Filamin-B	1.82497e+08
O75376	NCOR1_HUMAN	NCOR1	Nuclear receptor corepressor 1	8.2324e+06
O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	3.83967e+06
O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	7.22728e+06
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	1.46192e+08
O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	6.67303e+06
O75394	RM33_HUMAN	MRPL33	Large ribosomal subunit protein bL33m	8.79203e+06
O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	6.21216e+07
O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	3.76697e+07
O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1	2.42152e+06
O75414	NDK6_HUMAN	NME6	Nucleoside diphosphate kinase 6	1.9763e+06
O75427	LRCH4_HUMAN	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4	2.30829e+06
O75431	MTX2_HUMAN	MTX2	Metaxin-2	9.70356e+06
O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	2.5584e+07
O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	1.5227e+07
O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	2.52203e+07
O75446	SAP30_HUMAN	SAP30	Histone deacetylase complex subunit SAP30	1.55688e+06
O75448	MED24_HUMAN	MED24	Mediator of RNA polymerase II transcription subunit 24	2.94575e+06
O75449	KTNA1_HUMAN	KATNA1	Katanin p60 ATPase-containing subunit A1	2.79712e+06
O75473	LGR5_HUMAN	LGR5	Leucine-rich repeat-containing G-protein coupled receptor 5	1.2951e+06
O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	5.35683e+07
O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	3.94853e+06
O75486	SUPT3_HUMAN	SUPT3H	Transcription initiation protein SPT3 homolog	1.03908e+06
O75487	GPC4_HUMAN	GPC4	Glypican-4	1.71542e+07
O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	2.62077e+07
O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	2.80364e+07
O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1	1.63878e+07
O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	1.96914e+07
O75525	KHDR3_HUMAN	KHDRBS3	KH domain-containing, RNA-binding, signal transduction-associated protein 3	6.88257e+06
O75528	TADA3_HUMAN	TADA3	Transcriptional adapter 3	2.14938e+06
O75529	TAF5L_HUMAN	TAF5L	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	3.88537e+06
O75530	EED_HUMAN	EED	Polycomb protein EED	2.51648e+06
O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	3.48532e+07
O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	4.75856e+07
O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	2.32511e+07
O75554	WBP4_HUMAN	WBP4	WW domain-binding protein 4	3.03996e+06
O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	1.10604e+07
O75570	RF1M_HUMAN	MTRF1	Peptide chain release factor 1, mitochondrial	1.67122e+06
O75581	LRP6_HUMAN	LRP6	Low-density lipoprotein receptor-related protein 6	968483
O75586	MED6_HUMAN	MED6	Mediator of RNA polymerase II transcription subunit 6	2.25636e+06
O75594	PGRP1_HUMAN	PGLYRP1	Peptidoglycan recognition protein 1	578984
O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	3.3315e+07
O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	5.93014e+07
O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial	4.00774e+06
O75629	CREG1_HUMAN	CREG1	Protein CREG1	1.52389e+07
O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	4.60852e+07
O75648	MTU1_HUMAN	TRMU	Mitochondrial tRNA-specific 2-thiouridylase 1	2.06902e+06
O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	8.07971e+06
O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	4.35031e+06
O75683	SURF6_HUMAN	SURF6	Surfeit locus protein 6	8.34486e+06
O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	4.25331e+06
O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog	5.07855e+07
O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	1.31865e+07
O75695	XRP2_HUMAN	RP2	Protein XRP2	6.63002e+06
O75715	GPX5_HUMAN	GPX5	Epididymal secretory glutathione peroxidase	3.96128e+07
O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	1.08459e+07
O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	9.17956e+06
O75746	S2512_HUMAN	SLC25A12	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial	1.08476e+07
O75764	TCEA3_HUMAN	TCEA3	Transcription elongation factor A protein 3	5.86176e+06
O75781	PALM_HUMAN	PALM	Paralemmin-1	2.73976e+06
O75787	RENR_HUMAN	ATP6AP2	Renin receptor	5.9377e+06
O75792	RNH2A_HUMAN	RNASEH2A	Ribonuclease H2 subunit A	4.48246e+06
O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20	7.26769e+06
O75818	RPP40_HUMAN	RPP40	Ribonuclease P protein subunit p40	6.60631e+06
O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	3.04294e+07
O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	2.47845e+07
O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	1.03065e+07
O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	5.30072e+07
O75843	AP1G2_HUMAN	AP1G2	AP-1 complex subunit gamma-like 2	2.28384e+06
O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	5.03199e+06
