Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	1.44231e+07
O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	3.56591e+06
O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	2.2472e+07
O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	1.2662e+07
O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	1.15584e+07
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	9.68223e+07
O60669	MOT2_HUMAN	SLC16A7	Monocarboxylate transporter 2	1.04195e+07
O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	1.60828e+07
O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	1.11417e+08
O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	4.60174e+07
O60739;P41567	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	4.17664e+07
O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	1.10915e+08
O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	9.69645e+06
O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	3.9132e+07
O60784	TOM1_HUMAN	TOM1	Target of Myb1 membrane trafficking protein	1.69936e+07
O60825	F262_HUMAN	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	1.44514e+07
O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22	5.09346e+06
O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	1.62705e+07
O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	1.13728e+08
O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	2.82965e+07
O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	1.1306e+08
O60879	DIAP2_HUMAN	DIAPH2	Protein diaphanous homolog 2	1.21191e+08
O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	1.42529e+07
O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	7.70884e+06
O60888	CUTA_HUMAN	CUTA	Protein CutA	1.8295e+07
O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	2.78713e+07
O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11	5.60264e+06
O60934	NBN_HUMAN	NBN	Nibrin	7.01711e+06
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	3.2609e+08
O75112	LDB3_HUMAN	LDB3	LIM domain-binding protein 3	1.97845e+07
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	1.95192e+07
O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	8.94379e+06
O75127	PTCD1_HUMAN	PTCD1	Pentatricopeptide repeat-containing protein 1, mitochondrial	715813
O75131	CPNE3_HUMAN	CPNE3	Copine-3	5.02248e+07
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand	2.53727e+06
O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein	2.18696e+07
O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	7.73442e+06
O75152	ZC11A_HUMAN	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	9.07152e+06
O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	3.16795e+06
O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	4.43839e+06
O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	4.42903e+07
O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17	6.2316e+06
O75190;Q8WWF6	DNJB3_HUMAN;DNJB6_HUMAN	DNAJB3;DNAJB6	DnaJ homolog subfamily B member 6	7.78704e+06
O75208	COQ9_HUMAN	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	4.0957e+06
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	3.78335e+07
O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	9.79234e+06
O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	3.00955e+07
O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	1.82706e+07
O75339	CILP1_HUMAN	CILP	Cartilage intermediate layer protein 1	1.15197e+07
O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	2.71678e+07
O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	1.16802e+08
O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	4.43017e+07
O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	2.7322e+07
O75362	ZN217_HUMAN	ZNF217	Zinc finger protein 217	1.22822e+06
O75363	BCAS1_HUMAN	BCAS1	Breast carcinoma-amplified sequence 1	2.64187e+06
O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	1.40823e+08
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL	1.39992e+08
O75369	FLNB_HUMAN	FLNB	Filamin-B	5.60566e+07
O75376	NCOR1_HUMAN	NCOR1	Nuclear receptor corepressor 1	4.14649e+06
O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	9.28074e+06
O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	3.7679e+06
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	1.09813e+08
O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	5.71352e+07
O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	2.47246e+07
O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1	8.93998e+06
O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	2.89488e+07
O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	3.32909e+07
O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	1.53487e+07
O75448	MED24_HUMAN	MED24	Mediator of RNA polymerase II transcription subunit 24	1.02112e+06
O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	1.67517e+07
O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	1.22991e+07
O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	9.66224e+06
O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	2.07511e+07
O75503	CLN5_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5	6.75767e+06
O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1	2.1464e+07
O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	5.4579e+06
O75525	KHDR3_HUMAN	KHDRBS3	KH domain-containing, RNA-binding, signal transduction-associated protein 3	5.13881e+06
O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	2.02946e+08
O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	3.70453e+07
O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	4.26631e+07
O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	2.29565e+06
O75586	MED6_HUMAN	MED6	Mediator of RNA polymerase II transcription subunit 6	1.20528e+06
O75594	PGRP1_HUMAN	PGLYRP1	Peptidoglycan recognition protein 1	5.62193e+06
O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	3.87764e+07
O75629	CREG1_HUMAN	CREG1	Protein CREG1	1.15809e+07
O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	3.32137e+07
O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	2.14617e+07
O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	3.92131e+06
O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	1.95689e+07
O75689;Q9NPF8	ADAP1_HUMAN;ADAP2_HUMAN	ADAP1;ADAP2	Arf-GAP with dual PH domain-containing protein 1	454173
O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	1.03802e+07
O75695	XRP2_HUMAN	RP2	Protein XRP2	7.91422e+06
O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	5.53534e+07
O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	1.55107e+06
O75746	S2512_HUMAN	SLC25A12	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial	3.09065e+06
O75764	TCEA3_HUMAN	TCEA3	Transcription elongation factor A protein 3	5.47147e+06
O75781	PALM_HUMAN	PALM	Paralemmin-1	4.69787e+06
O75787	RENR_HUMAN	ATP6AP2	Renin receptor	1.48701e+06
O75792	RNH2A_HUMAN	RNASEH2A	Ribonuclease H2 subunit A	5.56046e+06
O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20	1.99855e+06
O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	5.88246e+07
O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	4.95628e+07
O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	1.72739e+07
O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	1.51477e+07
O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	1.17951e+08
O75884	RBBP9_HUMAN	RBBP9	Serine hydrolase RBBP9	740359
O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2	1.36509e+07
O75909	CCNK_HUMAN	CCNK	Cyclin-K	278200
O75911	DHRS3_HUMAN	DHRS3	Short-chain dehydrogenase/reductase 3	7.09743e+06
O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	3.26539e+07
O75923	DYSF_HUMAN	DYSF	Dysferlin	3.76216e+06
O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	2.41995e+07
O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	5.8697e+06
O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	2.2427e+07
O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	6.46827e+06
O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	1.14388e+08
O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	3.75217e+07
O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	1.40483e+07
O75976	CBPD_HUMAN	CPD	Carboxypeptidase D	2.83667e+06
O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	4.72948e+07
O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	3.94545e+07
O76024	WFS1_HUMAN	WFS1	Wolframin	7.38439e+06
O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	9.28373e+06
O76070	SYUG_HUMAN	SNCG	Gamma-synuclein	5.86221e+07
O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1	7.0043e+06
O76074	PDE5A_HUMAN	PDE5A	cGMP-specific 3',5'-cyclic phosphodiesterase	1.24927e+07
O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	1.91922e+07
O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	5.89982e+07
O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	1.28664e+07
O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10	7.54518e+06
O94806;Q15139;Q9BZL6	KPCD1_HUMAN;KPCD2_HUMAN;KPCD3_HUMAN	PRKD1;PRKD2;PRKD3	Serine/threonine-protein kinase D3	421205
O94811	TPPP_HUMAN	TPPP	Tubulin polymerization-promoting protein	2.0273e+07
O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	2.94736e+07
O94832	MYO1D_HUMAN	MYO1D	Unconventional myosin-Id	6.08049e+07
O94842	TOX4_HUMAN	TOX4	TOX high mobility group box family member 4	1.63176e+07
O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D	1.72211e+06
O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	1.70272e+07
O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2	4.77336e+07
O94880	PHF14_HUMAN	PHF14	PHD finger protein 14	1.53793e+06
O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7	6.20878e+06
O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	5.95208e+06
O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	2.56124e+07
O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	1.84202e+07
O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	1.20224e+07
O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein	4.26414e+07
O94923	GLCE_HUMAN	GLCE	D-glucuronyl C5-epimerase	6.17993e+06
O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	7.67905e+06
O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2	9.46494e+06
O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	4.48083e+07
O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	5.54087e+06
O95049	ZO3_HUMAN	TJP3	Tight junction protein ZO-3	9.29725e+06
O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5	2.55129e+07
O95081	AGFG2_HUMAN	AGFG2	Arf-GAP domain and FG repeat-containing protein 2	4.46593e+06
O95104	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4	7.0322e+06
O95139	NDUB6_HUMAN	NDUFB6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	1.52299e+07
O95154	ARK73_HUMAN	AKR7A3	Aflatoxin B1 aldehyde reductase member 3	7.45145e+07
O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1	2.21692e+06
O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	2.61932e+07
O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	2.09698e+07
O95183	VAMP5_HUMAN	VAMP5	Vesicle-associated membrane protein 5	3.02648e+06
O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	2.00503e+07
O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	1.90814e+07
O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	2.34759e+06
O95239	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A	2.48459e+06
O95248	MTMR5_HUMAN	SBF1	Myotubularin-related protein 5	4.20892e+06
O95249	GOSR1_HUMAN	GOSR1	Golgi SNAP receptor complex member 1	4.89001e+06
O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	5.78472e+07
O95294	RASL1_HUMAN	RASAL1	RasGAP-activating-like protein 1	481255
O95298	NDUC2_HUMAN	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2	1.05393e+07
O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	3.52809e+07
O95302	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	1.15695e+07
O95319	CELF2_HUMAN	CELF2	CUGBP Elav-like family member 2	3.56776e+06
O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	4.82613e+07
O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	7.90782e+06
O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	6.74843e+06
O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	4.54704e+06
O95359	TACC2_HUMAN	TACC2	Transforming acidic coiled-coil-containing protein 2	7.2032e+06
O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2	1.04272e+07
O95373	IPO7_HUMAN	IPO7	Importin-7	1.00673e+08
O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	2.43708e+07
O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2	2.72294e+07
O95425	SVIL_HUMAN	SVIL	Supervillin	1.70723e+07
O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	2.87281e+07
O95453	PARN_HUMAN	PARN	Poly(A)-specific ribonuclease PARN	1.02144e+07
O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1	5.67592e+06
O95466	FMNL1_HUMAN	FMNL1	Formin-like protein 1	6.45889e+06
O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1	7.9545e+06
O95478	NSA2_HUMAN	NSA2	Ribosome biogenesis protein NSA2 homolog	9.93807e+06
O95479	G6PE_HUMAN	H6PD	GDH/6PGL endoplasmic bifunctional protein	1.83428e+07
O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A	1.06286e+07
O95571	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	1.19214e+07
O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	1.33096e+07
O95630	STABP_HUMAN	STAMBP	STAM-binding protein	9.58224e+06
O95674	CDS2_HUMAN	CDS2	Phosphatidate cytidylyltransferase 2	5.64953e+06
O95684	CEP43_HUMAN	CEP43	Centrosomal protein 43	5.16342e+07
O95707	RPP29_HUMAN	POP4	Ribonuclease P protein subunit p29	7.32963e+06
O95716	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D	8.53167e+06
O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29	2.40269e+07
O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	3.53661e+07
O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	1.50155e+07
O95758	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3	1.02064e+07
O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8	1.25515e+07
O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1	1.37905e+07
O95786	RIGI_HUMAN	RIGI	Antiviral innate immune response receptor RIG-I	3.92966e+06
O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1	1.70157e+07
O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2	9.1812e+06
O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	4.99999e+07
O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3	2.43601e+07
O95825	QORL1_HUMAN	CRYZL1	Quinone oxidoreductase-like protein 1	8.84836e+06
O95831	AIFM1_HUMAN	AIFM1	Apoptosis-inducing factor 1, mitochondrial	5.05627e+07
O95834	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2	2.77238e+07
O95861	BPNT1_HUMAN	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1	1.77635e+07
O95865	DDAH2_HUMAN	DDAH2	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	3.62163e+07
O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	4.1398e+07
O95926	SYF2_HUMAN	SYF2	Pre-mRNA-splicing factor SYF2	3.46479e+06
O95983	MBD3_HUMAN	MBD3	Methyl-CpG-binding domain protein 3	4.46914e+06
O95994	AGR2_HUMAN	AGR2	Anterior gradient protein 2 homolog	1.97088e+09
O95999	BCL10_HUMAN	BCL10	B-cell lymphoma/leukemia 10	6.48363e+06
O96000	NDUBA_HUMAN	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	2.43498e+07
O96005	CLPT1_HUMAN	CLPTM1	Putative lipid scramblase CLPTM1	2.07729e+07
O96007	MOC2B_HUMAN	MOCS2	Molybdopterin synthase catalytic subunit	581813
O96008	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	1.61985e+07
O96013	PAK4_HUMAN	PAK4	Serine/threonine-protein kinase PAK 4	1.64966e+07
O96019	ACL6A_HUMAN	ACTL6A	Actin-like protein 6A	1.57956e+07
O96033	MOC2A_HUMAN	MOCS2	Molybdopterin synthase sulfur carrier subunit	3.75077e+06
P00167	CYB5_HUMAN	CYB5A	Cytochrome b5	2.01638e+07
P00325	ADH1B_HUMAN	ADH1B	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	1.75272e+06
P00326	ADH1G_HUMAN	ADH1C	Alcohol dehydrogenase 1C	8.53541e+06
P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	9.21943e+08
P00352	AL1A1_HUMAN	ALDH1A1	Aldehyde dehydrogenase 1A1	6.27433e+07
P00367	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial	6.53838e+07
P00387	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3	3.01318e+07
P00390	GSHR_HUMAN	GSR	Glutathione reductase, mitochondrial	4.00886e+07
P00403	COX2_HUMAN	MT-CO2	Cytochrome c oxidase subunit 2	2.81399e+07
P00441	SODC_HUMAN	SOD1	Superoxide dismutase [Cu-Zn]	1.18744e+08
P00450	CERU_HUMAN	CP	Ceruloplasmin	4.72794e+07
P00480	OTC_HUMAN	OTC	Ornithine transcarbamylase, mitochondrial	4.45364e+07
P00491	PNPH_HUMAN	PNP	Purine nucleoside phosphorylase	4.92718e+07
P00492	HPRT_HUMAN	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	5.08862e+07
P00505	AATM_HUMAN	GOT2	Aspartate aminotransferase, mitochondrial	7.21324e+07
P00519	ABL1_HUMAN	ABL1	Tyrosine-protein kinase ABL1	1.56635e+06
P00533	EGFR_HUMAN	EGFR	Epidermal growth factor receptor	9.133e+06
P00558	PGK1_HUMAN	PGK1	Phosphoglycerate kinase 1	4.91057e+08
P00568	KAD1_HUMAN	AK1	Adenylate kinase isoenzyme 1	6.13051e+07
P00734	THRB_HUMAN	F2	Prothrombin	1.95269e+07
P00736	C1R_HUMAN	C1R	Complement C1r subcomponent	5.22644e+06
P00738	HPT_HUMAN	HP	Haptoglobin	2.34942e+08
P00747	PLMN_HUMAN	PLG	Plasminogen	5.27586e+06
P00751	CFAB_HUMAN	CFB	Complement factor B	3.79197e+07
P00813	ADA_HUMAN	ADA	Adenosine deaminase	4.38158e+06
P00915	CAH1_HUMAN	CA1	Carbonic anhydrase 1	2.04933e+07
P00918	CAH2_HUMAN	CA2	Carbonic anhydrase 2	2.8117e+07
P00966	ASSY_HUMAN	ASS1	Argininosuccinate synthase	2.26019e+07
P00995	ISK1_HUMAN	SPINK1	Serine protease inhibitor Kazal-type 1	4.76738e+07
P01008	ANT3_HUMAN	SERPINC1	Antithrombin-III	5.16711e+07
P01009	A1AT_HUMAN	SERPINA1	Alpha-1-antitrypsin	1.88871e+08
P01011	AACT_HUMAN	SERPINA3	Alpha-1-antichymotrypsin	4.87816e+07
P01019	ANGT_HUMAN	AGT	Angiotensinogen	1.4873e+07
P01023	A2MG_HUMAN	A2M	Alpha-2-macroglobulin	4.08019e+07
P01024	CO3_HUMAN	C3	Complement C3	8.16986e+07
P01034	CYTC_HUMAN	CST3	Cystatin-C	5.81767e+07
P01040	CYTA_HUMAN	CSTA	Cystatin-A	1.21364e+07
P01042	KNG1_HUMAN	KNG1	Kininogen-1	1.93441e+07
P01111	RASN_HUMAN	NRAS	GTPase NRas	3.50166e+07
P01275	GLUC_HUMAN	GCG	Pro-glucagon	1.0619e+07
P01591	IGJ_HUMAN	JCHAIN	Immunoglobulin J chain	1.64902e+07
P01619	KV320_HUMAN	IGKV3-20	Immunoglobulin kappa variable 3-20	5.83372e+07
P01780	HV307_HUMAN	IGHV3-7	Immunoglobulin heavy variable 3-7	1.4996e+07
P01833	PIGR_HUMAN	PIGR	Polymeric immunoglobulin receptor	1.70301e+08
P01834	IGKC_HUMAN	IGKC	Immunoglobulin kappa constant	3.54317e+08
P01857;P0DOX5	IGG1_HUMAN;IGHG1_HUMAN	IGHG1	Immunoglobulin heavy constant gamma 1	1.77118e+08
P01859	IGHG2_HUMAN	IGHG2	Immunoglobulin heavy constant gamma 2	1.9291e+08
P01860	IGHG3_HUMAN	IGHG3	Immunoglobulin heavy constant gamma 3	6.09169e+08
P01861	IGHG4_HUMAN	IGHG4	Immunoglobulin heavy constant gamma 4	5.85249e+06
P01871	IGHM_HUMAN	IGHM	Immunoglobulin heavy constant mu	5.91895e+07
P01876	IGHA1_HUMAN	IGHA1	Immunoglobulin heavy constant alpha 1	2.19035e+08
P01889	HLAB_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain	1.00618e+07
P01903	DRA_HUMAN	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain	1.01106e+08
P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta	8.36986e+07
P02144	MYG_HUMAN	MB	Myoglobin	493549
P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain	8.38927e+08
P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	1.43435e+08
P02462	CO4A1_HUMAN	COL4A1	Collagen alpha-1(IV) chain	1.8702e+07
P02511	CRYAB_HUMAN	CRYAB	Alpha-crystallin B chain	8.59849e+07
P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	9.62015e+06
P02545	LMNA_HUMAN	LMNA	Prelamin-A/C	6.66642e+08
P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	2.71218e+08
P02649	APOE_HUMAN	APOE	Apolipoprotein E	3.79688e+07
P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II	1.10069e+08
P02656	APOC3_HUMAN	APOC3	Apolipoprotein C-III	5.67415e+06
P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain	8.82696e+07
P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	1.17934e+08
P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain	8.78138e+07
P02686	MBP_HUMAN	MBP	Myelin basic protein	1.164e+07
P02743	SAMP_HUMAN	APCS	Serum amyloid P-component	1.13576e+08
P02745	C1QA_HUMAN	C1QA	Complement C1q subcomponent subunit A	9.89592e+06
P02746	C1QB_HUMAN	C1QB	Complement C1q subcomponent subunit B	1.78399e+07
P02747	C1QC_HUMAN	C1QC	Complement C1q subcomponent subunit C	2.55912e+07
P02748	CO9_HUMAN	C9	Complement component C9	9.06858e+06
P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	1.80633e+07
P02750	A2GL_HUMAN	LRG1	Leucine-rich alpha-2-glycoprotein	1.02662e+07
P02751	FINC_HUMAN	FN1	Fibronectin	1.49548e+08
